Epoch,Loss
1,8.681727409362793
2,8.553576469421387
3,8.48444938659668
4,8.429672241210938
5,8.380536079406738
6,8.302250862121582
7,8.227778434753418
8,8.150421142578125
9,8.067007064819336
10,7.987849235534668
11,7.905369758605957
12,7.827064037322998
13,7.7441229820251465
14,7.656862258911133
15,7.5754899978637695
16,7.490201473236084
17,7.414783000946045
18,7.323478698730469
19,7.248859882354736
20,7.161420822143555
21,7.0849223136901855
22,7.000156402587891
23,6.927478313446045
24,6.864191055297852
25,6.78109073638916
26,6.705381870269775
27,6.636919021606445
28,6.560572147369385
29,6.489870548248291
30,6.413898468017578
31,6.345530986785889
32,6.282098770141602
33,6.205974578857422
34,6.145129680633545
35,6.083454608917236
36,6.0218186378479
37,5.953969478607178
38,5.88863468170166
39,5.820335388183594
40,5.763572692871094
41,5.700312614440918
42,5.631227970123291
43,5.576656341552734
44,5.510349273681641
45,5.451957702636719
46,5.393672466278076
47,5.345284938812256
48,5.2747883796691895
49,5.220579147338867
50,5.168436050415039
51,5.106008052825928
52,5.051114559173584
53,4.988825798034668
54,4.931929588317871
55,4.882307529449463
56,4.82640266418457
57,4.771771430969238
58,4.714295864105225
59,4.674482822418213
60,4.618714332580566
61,4.562080383300781
62,4.51686954498291
63,4.461665630340576
64,4.407778739929199
65,4.359873294830322
66,4.309492111206055
67,4.256502628326416
68,4.206693649291992
69,4.169530868530273
70,4.114880561828613
71,4.059902191162109
72,4.02177619934082
73,3.9633965492248535
74,3.920612335205078
75,3.874155044555664
76,3.8214712142944336
77,3.7771332263946533
78,3.7360846996307373
79,3.6770944595336914
80,3.6367053985595703
81,3.5837464332580566
82,3.547344207763672
83,3.4954423904418945
84,3.447448968887329
85,3.4023985862731934
86,3.3646368980407715
87,3.319035768508911
88,3.265345335006714
89,3.219731092453003
90,3.185476303100586
91,3.135881185531616
92,3.1054117679595947
93,3.0573320388793945
94,3.0108883380889893
95,2.964808225631714
96,2.919131278991699
97,2.873964309692383
98,2.8323562145233154
99,2.7965891361236572
100,2.7520997524261475
